2022-11-14-20:33:33.669,0,-273.15,16.74,18.06,6.17,23.97,17.15,11.95,16.62,13.15
2022-11-14-20:33:43.695,0,-273.15,16.59,17.90,6.14,23.86,16.92,11.86,16.57,12.96
2022-11-14-20:33:53.692,0,-273.15,16.45,17.74,6.14,23.88,16.79,11.88,16.52,12.96
2022-11-14-20:34:3.708,0,-273.15,16.38,17.65,6.14,23.72,16.79,11.75,16.52,12.91
2022-11-14-20:34:7.762,1,-273.15,16.15,17.40,5.85,23.37,16.28,11.41,16.10,12.66
2022-11-14-20:34:8.790,1,-273.15,16.34,17.61,6.12,23.83,16.61,11.88,16.48,13.03
2022-11-14-20:34:9.786,1,-273.15,16.34,17.65,6.09,23.81,16.70,11.90,16.55,13.19
2022-11-14-20:34:10.815,1,-273.15,16.36,17.68,6.12,23.80,16.66,11.86,16.51,13.20
2022-11-14-20:34:11.821,1,-273.15,16.38,17.68,6.12,23.74,16.68,11.92,16.56,13.19
2022-11-14-20:34:12.822,1,-273.15,16.36,17.72,6.09,23.86,16.71,11.98,16.40,13.20
2022-11-14-20:34:13.837,1,-273.15,16.43,17.74,6.12,23.75,16.70,11.99,16.46,13.13
2022-11-14-20:34:14.877,1,-273.15,16.47,17.77,6.09,23.76,16.68,12.03,16.46,13.20
2022-11-14-20:34:15.859,1,-273.15,16.52,17.83,6.14,23.87,16.78,12.12,16.51,13.31
2022-11-14-20:34:16.873,1,6.53,16.27,17.65,5.90,23.42,16.18,11.74,16.55,13.23
2022-11-14-20:34:17.888,1,6.82,16.56,17.88,6.09,23.77,16.73,12.00,16.50,13.21
2022-11-14-20:34:18.899,1,6.82,16.59,17.90,6.09,23.74,16.76,12.06,16.45,13.08
2022-11-14-20:34:19.911,1,6.82,16.61,17.97,6.12,24.27,16.82,11.98,16.50,13.14
2022-11-14-20:34:20.924,1,-273.15,16.63,17.95,6.09,23.93,16.86,12.05,16.58,13.14
2022-11-14-20:34:21.936,1,6.82,16.65,17.95,6.09,23.78,16.94,11.95,16.60,13.07
2022-11-14-20:34:22.962,1,6.82,16.61,17.95,6.07,23.91,16.81,11.88,16.49,12.99
2022-11-14-20:34:24.0,1,-273.15,16.63,17.93,6.04,23.75,16.83,11.91,16.57,13.05
2022-11-14-20:34:24.974,1,-273.15,16.70,17.95,6.04,23.67,16.82,11.84,16.48,13.07
2022-11-14-20:34:25.987,1,-273.15,16.54,17.68,5.80,23.35,16.44,11.77,16.57,13.07
2022-11-14-20:34:26.999,1,-273.15,16.74,17.90,5.95,23.74,16.93,11.83,16.52,13.00
2022-11-14-20:34:28.13,1,-273.15,16.74,17.88,5.87,23.63,16.94,11.78,16.52,12.85
2022-11-14-20:34:29.25,1,-273.15,16.77,17.97,5.87,23.78,16.97,11.76,16.59,12.86
2022-11-14-20:34:30.39,1,-273.15,16.72,17.99,5.83,23.66,16.96,11.88,16.52,12.77
2022-11-14-20:34:31.51,1,-273.15,16.74,17.97,5.90,23.74,16.90,11.77,16.46,12.71
2022-11-14-20:34:32.65,1,-273.15,16.74,18.02,5.90,23.68,16.95,11.89,16.54,12.68
2022-11-14-20:34:33.93,1,-273.15,16.81,18.02,5.92,23.71,16.96,11.89,16.44,12.74
2022-11-14-20:34:34.163,1,-273.15,16.59,17.81,5.80,23.36,16.78,11.43,16.48,12.73
2022-11-14-20:34:35.106,1,-273.15,16.59,17.83,5.80,23.46,16.70,11.49,16.22,12.64
2022-11-14-20:34:36.117,1,-273.15,16.74,18.02,6.00,23.71,17.01,11.84,16.56,12.95
2022-11-14-20:34:37.129,1,-273.15,16.77,18.02,6.04,23.70,17.04,11.74,16.47,12.99
2022-11-14-20:34:38.140,1,-273.15,16.74,18.02,6.07,23.62,17.00,11.77,16.55,13.00
2022-11-14-20:34:39.157,1,-273.15,16.79,18.04,6.09,23.74,17.10,11.89,16.59,13.13
2022-11-14-20:34:40.165,1,-273.15,16.77,18.04,6.14,23.77,17.16,11.86,16.54,13.15
2022-11-14-20:34:41.181,1,-273.15,16.81,18.04,6.14,23.74,17.15,11.91,16.57,13.20
2022-11-14-20:34:42.193,1,-273.15,16.81,18.04,6.17,23.77,17.20,11.87,16.52,13.07
2022-11-14-20:34:43.217,1,-273.15,16.81,18.04,6.17,23.76,17.17,11.95,16.64,13.00
2022-11-14-20:34:44.227,1,-273.15,16.59,17.88,6.07,23.61,17.18,12.02,16.53,13.11
2022-11-14-20:34:45.242,1,-273.15,16.84,18.04,6.19,23.76,17.25,11.97,16.49,12.98
2022-11-14-20:34:46.241,1,-273.15,16.90,18.04,6.19,23.76,17.27,11.92,16.57,13.13
